tf,domain,emi,end_preference,periodic_preference,groove_preference,dyad_preference,gyre_spanning,orientational_preference,nucleosome_stability
CDX1,Homeodomain,44.5,0,1,1,0,0,0,0
YBX1,CSD,42.5,0,0,0,0,0,0,0
MIXL1,Homeodomain,42.0,0,1,1,0,0,0,0
FOXD3,Forkhead,42.0,0,1,0,0,0,0,0
HOXA10,Homeodomain,42.0,0,0,0,0,0,0,0
SHOX,Homeodomain,41.0,0,1,1,0,0,0,0
NKX6-2,Homeodomain,40.5,0,0,0,0,0,0,0
PDX1,Homeodomain,40.5,0,1,1,0,0,0,0
LBX2,Homeodomain,40.0,0,1,1,0,0,0,0
MSX2,Homeodomain,40.0,0,1,1,0,0,0,1
LMX1A,Homeodomain,39.5,0,0,0,0,0,0,0
MSX1,Homeodomain,39.0,0,1,1,0,0,0,0
LMX1B,Homeodomain,38.5,0,0,0,0,0,0,0
EN2,Homeodomain,38.5,0,0,0,0,0,0,0
EN1,Homeodomain,38.5,0,0,0,0,0,0,0
TGIF2LY,MEIS,37.5,0,0,0,0,0,0,0
MYBL1,MYB,37.5,0,0,0,0,0,0,1
MEIS3,MEIS,37.5,0,0,0,0,0,0,0
HES2,bHLH,37.5,0,1,0,0,0,0,0
TGIF2LX,MEIS,36.5,0,0,0,0,0,0,1
FOXI1,Forkhead,36.0,0,1,1,0,0,0,1
RUNX3,RUNT,36.0,0,1,0,0,0,0,1
RAX,Homeodomain,35.5,0,1,1,0,0,0,1
FOXJ2,Forkhead,35.5,0,1,0,0,0,0,1
TGIF2,MEIS,35.0,0,0,0,0,0,0,0
HOXD9,Homeodomain,35.0,0,1,1,0,0,0,0
VSX1,Homeodomain,34.5,0,1,1,0,0,0,1
THRB,Nuclear_receptor,34.5,0,0,0,0,0,0,0
SOX18,HMG,34.0,0,1,1,1,0,0,0
NR4A2,Nuclear_receptor,34.0,0,1,0,0,0,0,0
ATOH1,bHLH,33.5,0,0,0,0,0,0,1
SOX7,HMG,33.5,0,1,1,1,0,0,1
GATA4,Znf_GATA,33.0,0,0,0,0,0,0,0
VENTX,Homeodomain,33.0,0,0,0,0,0,0,1
BHLHA15,bHLH,33.0,0,0,0,1,0,0,0
FOXD2,Forkhead,32.5,0,1,0,0,0,0,0
SOX10,HMG,32.0,0,1,1,1,0,0,0
VAX2,Homeodomain,32.0,0,1,1,0,0,0,0
NFATC3,RHD,31.5,0,1,0,0,0,0,1
DLX5,Homeodomain,31.5,0,1,1,0,0,0,0
HOXA2,Homeodomain,31.5,0,1,0,0,0,0,0
SOX2,HMG,31.5,0,0,0,1,0,0,0
HOXD4,Homeodomain,31.5,0,0,0,0,0,0,0
TBX21,T_box,31.0,0,0,0,0,0,0,0
HOXC11,Homeodomain,31.0,0,1,0,0,0,0,1
SOX11,HMG,31.0,0,1,1,1,0,0,0
TBX3,T_box,30.5,0,0,0,0,0,0,0
DLX4,Homeodomain,30.5,0,1,1,0,0,0,0
SOX12,HMG,30.5,0,1,1,1,0,0,0
NFATC1,RHD,30.0,0,1,0,0,0,0,0
E2F8,E2F,30.0,0,0,0,0,0,0,0
DLX1,Homeodomain,30.0,0,1,1,0,0,0,0
FOXO6,Forkhead,30.0,0,0,0,0,0,0,0
EVX1,Homeodomain,30.0,0,1,0,0,0,0,0
BHLHB8,bHLH,29.5,0,0,0,1,0,0,1
PROP1,Homeodomain,29.0,0,0,0,0,0,0,0
PRRX1,Homeodomain,29.0,0,1,1,0,0,0,0
GSC2,Homeodomain,28.0,0,0,0,0,0,0,0
EOMES,T_box,27.5,0,1,0,0,0,0,0
BHLHB2,bHLH,27.5,0,0,0,0,0,0,0
PAX7,PAX,27.0,0,0,0,0,0,0,0
RFX5,RFX,27.0,0,1,0,1,0,0,0
TBX4,T_box,26.5,0,0,0,0,0,0,1
NHLH1,bHLH,26.5,0,0,0,0,0,0,0
FOXO1,Forkhead,26.5,0,1,1,0,0,0,0
